total_bill,tip,sex,smoker,day,time,size,tip_percentage,bill_per_person,total_amount
36.27,8.2,Female,No,Thur,Lunch,6,22.61,6.05,44.47
25.54,2.39,Female,No,Sat,Dinner,2,9.36,12.77,27.93
10.49,1.27,Female,Yes,Thur,Lunch,6,12.11,1.75,11.76
5.02,0.6,Male,Yes,Sun,Lunch,1,11.95,5.02,5.619999999999999
26.82,5.06,Female,No,Sat,Lunch,6,18.87,4.47,31.88
14.84,2.4,Female,No,Thur,Dinner,4,16.17,3.71,17.24
16.11,3.05,Male,No,Thur,Dinner,1,18.93,16.11,19.16
17.01,4.17,Female,Yes,Thur,Dinner,1,24.51,17.01,21.18
33.55,6.25,Male,No,Sun,Dinner,4,18.63,8.39,39.8
8.64,1.07,Male,No,Sun,Lunch,4,12.38,2.16,9.71
49.25,6.39,Male,Yes,Thur,Lunch,4,12.97,12.31,55.64
27.87,5.27,Male,No,Sat,Dinner,3,18.91,9.29,33.14
37.0,7.84,Female,No,Sun,Lunch,1,21.19,37.0,44.84
22.89,3.51,Female,Yes,Sun,Lunch,1,15.33,22.89,26.4
14.41,2.28,Female,Yes,Sun,Dinner,2,15.82,7.2,16.69
49.2,7.54,Male,Yes,Sun,Dinner,4,15.33,12.3,56.74
30.12,6.82,Male,No,Sat,Lunch,3,22.64,10.04,36.94
43.53,5.7,Male,No,Sat,Lunch,4,13.09,10.88,49.230000000000004
45.43,7.78,Male,No,Thur,Lunch,1,17.13,45.43,53.21
5.23,0.43,Female,No,Sat,Dinner,5,8.22,1.05,5.66
15.09,2.9,Male,No,Sun,Dinner,3,19.22,5.03,17.99
34.59,5.66,Female,No,Fri,Lunch,6,16.36,5.76,40.25
15.98,3.91,Male,No,Sun,Lunch,3,24.47,5.33,19.89
40.77,6.14,Female,No,Thur,Lunch,4,15.06,10.19,46.910000000000004
37.51,3.98,Male,No,Sun,Lunch,4,10.61,9.38,41.489999999999995
47.32,11.39,Male,No,Sun,Lunch,5,24.07,9.46,58.71
46.77,6.34,Male,No,Sun,Lunch,4,13.56,11.69,53.11
18.25,2.32,Male,Yes,Sat,Dinner,2,12.71,9.12,20.57
30.06,7.13,Female,No,Fri,Dinner,2,23.72,15.03,37.19
32.68,8.1,Female,Yes,Fri,Dinner,2,24.79,16.34,40.78
38.33,7.26,Male,No,Sat,Lunch,2,18.94,19.16,45.589999999999996
41.42,8.78,Male,No,Sun,Dinner,1,21.2,41.42,50.2
33.26,2.96,Female,No,Sun,Dinner,4,8.9,8.32,36.22
44.9,2.49,Female,Yes,Sat,Lunch,6,5.55,7.48,47.39
19.77,1.6,Female,Yes,Fri,Dinner,6,8.09,3.3,21.37
16.26,0.94,Male,No,Sun,Lunch,1,5.78,16.26,17.200000000000003
42.25,4.41,Female,No,Sun,Dinner,5,10.44,8.45,46.66
13.75,1.82,Male,No,Sun,Dinner,5,13.24,2.75,15.57
48.63,9.38,Male,No,Sat,Lunch,4,19.29,12.16,58.010000000000005
38.48,3.85,Female,No,Sat,Lunch,1,10.01,38.48,42.33
35.98,2.22,Female,Yes,Fri,Dinner,6,6.17,6.0,38.199999999999996
9.22,0.8,Male,Yes,Sun,Lunch,5,8.68,1.84,10.020000000000001
32.53,4.36,Female,No,Sat,Lunch,6,13.4,5.42,36.89
5.65,0.41,Male,Yes,Fri,Dinner,6,7.26,0.94,6.0600000000000005
36.66,5.31,Female,No,Thur,Lunch,4,14.48,9.16,41.97
12.79,1.75,Male,Yes,Fri,Lunch,4,13.68,3.2,14.54
7.04,0.88,Female,No,Sun,Lunch,5,12.5,1.41,7.92
35.78,6.2,Female,No,Thur,Dinner,3,17.33,11.93,41.980000000000004
41.04,7.61,Male,No,Thur,Lunch,3,18.54,13.68,48.65
41.93,7.35,Male,No,Fri,Lunch,4,17.53,10.48,49.28
17.33,1.61,Female,Yes,Sat,Dinner,3,9.29,5.78,18.939999999999998
20.14,3.65,Male,No,Fri,Dinner,2,18.12,10.07,23.79
16.73,2.5,Female,No,Thur,Lunch,5,14.94,3.35,19.23
6.76,0.9,Male,Yes,Fri,Lunch,1,13.31,6.76,7.66
30.58,5.05,Male,No,Fri,Lunch,6,16.51,5.1,35.629999999999995
30.28,2.96,Male,No,Thur,Lunch,1,9.78,30.28,33.24
22.0,3.45,Female,No,Fri,Lunch,3,15.68,7.33,25.45
9.5,0.58,Male,No,Sun,Lunch,4,6.11,2.38,10.08
47.75,11.47,Male,No,Sun,Lunch,5,24.02,9.55,59.22
18.19,2.11,Male,Yes,Thur,Lunch,1,11.6,18.19,20.3
10.11,2.39,Female,Yes,Sat,Dinner,5,23.64,2.02,12.5
38.17,6.08,Male,Yes,Sun,Lunch,2,15.93,19.08,44.25
42.66,9.53,Female,Yes,Thur,Dinner,2,22.34,21.33,52.19
22.85,5.22,Female,Yes,Thur,Dinner,3,22.84,7.62,28.07
31.16,6.94,Female,No,Sat,Lunch,1,22.27,31.16,38.1
31.63,3.8,Female,Yes,Thur,Dinner,6,12.01,5.27,35.43
36.73,3.66,Male,Yes,Sat,Lunch,5,9.96,7.35,40.39
23.23,3.82,Female,Yes,Thur,Lunch,1,16.44,23.23,27.05
38.49,7.17,Female,No,Sat,Dinner,1,18.63,38.49,45.660000000000004
8.73,1.36,Male,No,Sun,Lunch,5,15.58,1.75,10.09
6.94,1.58,Female,No,Sun,Lunch,4,22.77,1.74,8.52
29.92,7.3,Female,Yes,Thur,Dinner,1,24.4,29.92,37.22
33.24,5.55,Female,No,Sat,Dinner,2,16.7,16.62,38.79
47.77,10.89,Female,Yes,Thur,Dinner,2,22.8,23.88,58.660000000000004
13.47,1.92,Female,Yes,Sun,Dinner,5,14.25,2.69,15.39
48.85,12.08,Female,Yes,Thur,Lunch,5,24.73,9.77,60.93
41.62,7.78,Male,Yes,Sat,Lunch,6,18.69,6.94,49.4
47.74,9.32,Male,No,Fri,Dinner,6,19.52,7.96,57.06
43.97,2.6,Male,No,Fri,Lunch,2,5.91,21.98,46.57
49.43,3.96,Male,No,Thur,Dinner,3,8.01,16.48,53.39
42.9,9.34,Female,Yes,Sat,Lunch,5,21.77,8.58,52.239999999999995
7.54,1.68,Male,No,Thur,Dinner,3,22.28,2.51,9.22
29.99,6.11,Male,No,Sat,Lunch,5,20.37,6.0,36.1
25.27,1.92,Male,Yes,Sun,Dinner,1,7.6,25.27,27.189999999999998
35.23,6.12,Female,Yes,Sat,Dinner,2,17.37,17.61,41.349999999999994
28.41,5.81,Male,No,Thur,Dinner,4,20.45,7.1,34.22
30.24,6.81,Male,No,Sat,Lunch,5,22.52,6.05,37.05
32.91,6.28,Male,No,Sun,Dinner,2,19.08,16.45,39.19
20.78,3.49,Female,No,Sat,Lunch,2,16.79,10.39,24.270000000000003
20.67,3.16,Female,No,Fri,Lunch,2,15.29,10.34,23.830000000000002
43.81,10.51,Female,No,Thur,Dinner,1,23.99,43.81,54.32
16.62,2.36,Female,No,Fri,Lunch,6,14.2,2.77,18.98
33.5,3.28,Male,No,Sat,Lunch,3,9.79,11.17,36.78
11.25,2.0,Female,No,Thur,Lunch,3,17.78,3.75,13.25
28.19,6.9,Male,Yes,Sat,Lunch,5,24.48,5.64,35.09
20.53,2.45,Female,Yes,Thur,Lunch,1,11.93,20.53,22.98
21.02,4.81,Male,No,Thur,Lunch,1,22.88,21.02,25.83
9.15,1.34,Female,Yes,Fri,Lunch,5,14.64,1.83,10.49
5.12,1.15,Female,No,Thur,Dinner,6,22.46,0.85,6.27
15.63,3.16,Female,No,Thur,Dinner,6,20.22,2.6,18.79
11.65,0.89,Male,No,Fri,Lunch,4,7.64,2.91,12.540000000000001
9.82,1.37,Male,No,Sun,Lunch,5,13.95,1.96,11.190000000000001
13.2,2.15,Male,Yes,Fri,Dinner,4,16.29,3.3,15.35
15.49,1.84,Male,No,Sat,Lunch,5,11.88,3.1,17.330000000000002
26.58,4.43,Female,No,Sun,Dinner,1,16.67,26.58,31.009999999999998
30.4,3.82,Male,No,Fri,Dinner,2,12.57,15.2,34.22
16.0,2.39,Female,No,Thur,Lunch,6,14.94,2.67,18.39
15.14,1.86,Female,Yes,Sat,Dinner,6,12.29,2.52,17.0
41.26,2.52,Male,Yes,Sat,Lunch,5,6.11,8.25,43.78
49.21,3.56,Female,No,Sat,Dinner,6,7.23,8.2,52.77
48.88,7.24,Female,No,Thur,Dinner,3,14.81,16.29,56.120000000000005
30.72,3.26,Female,Yes,Fri,Dinner,4,10.61,7.68,33.98
24.14,3.66,Male,No,Thur,Dinner,6,15.16,4.02,27.8
17.99,2.99,Male,No,Thur,Lunch,3,16.62,6.0,20.979999999999997
7.33,0.86,Female,No,Fri,Dinner,2,11.73,3.66,8.19
19.51,4.14,Male,Yes,Thur,Lunch,1,21.22,19.51,23.650000000000002
31.8,4.59,Male,No,Sat,Lunch,5,14.43,6.36,36.39
42.38,10.3,Female,No,Sat,Lunch,2,24.3,21.19,52.68000000000001
13.16,0.83,Female,No,Sun,Dinner,5,6.31,2.63,13.99
